id;meta_id;codigo;titulo;descricao;compoe_indicador_meta;status
1;1;1.a;"Atender 1.250.000 pessoas em programas de transferência de renda e/ou apoio nutricional de caráter provisório;";NULL;NULL;NULL
2;1;1.b;"Atender 450.000 pessoas em programas de transferência de renda e/ou apoio nutricional de caráter permanente;";NULL;NULL;NULL
3;1;1.c;Aprimorar e racionalizar os cadastros dos beneficiários das políticas sociais.;NULL;NULL;NULL
4;2;2.a;"Adquirir equipamentos para implantação do prontuário eletrônico;";NULL;NULL;NULL
5;2;2.b;"Implantar infraestrutura de tecnologia da informação nas UBS;";NULL;NULL;NULL
6;2;2.c;Implantar e monitorar o Prontuário Eletrônico em todas as UBS.;NULL;NULL;NULL
7;3;3.a;Implantar 30 equipamentos de saúde;NULL;NULL;NULL
8;4;4.a;"Reformar 100 equipamentos de saúde;";NULL;NULL;NULL
9;4;4.b;"Reequipar 80 equipamentos de saúde;";NULL;NULL;NULL
10;4;4.c;Reformar sete Hospitais Municipais.;NULL;NULL;NULL
11;5;5.a;"Ampliar para 100% das UBS o serviço de oferta de próteses dentárias;";NULL;NULL;NULL
12;5;5.b;"Ampliar o atendimento em saúde bucal com a implantação de centros odontológicos
com horário expandido;";NULL;NULL;NULL
13;5;5.c;"Ofertar aos profissionais da Saúde capacitação em prótese odontológica;";NULL;NULL;NULL
14;5;5.d;"Adquirir instrumentos para atendimento das necessidades de próteses;";NULL;NULL;NULL
15;5;5.e;"Implantar 6 Centros de Referência em Saúde Bucal;";NULL;NULL;NULL
16;5;5.f;"Intensificar as ações educativas de saúde bucal nas CEIs e EMEIs e em grupos de pais e responsáveis;";NULL;NULL;NULL
17;5;5.g;Realizar levantamento epidemiológico sobre crianças na primeira infância.;NULL;NULL;NULL
18;6;6.a;"Sensibilizar profissionais sobre registro adequado de doses aplicadas e estimular a vacinação oportuna, por meio da avaliação da caderneta de saúde, visitas domiciliares e visitas às escolas;";NULL;NULL;NULL
19;6;6.b;"Promover ações de busca ativa, postos extra-muros, vacinação em bolsões de susceptíveis, sobretudo, em relação às crianças na primeira infância;";NULL;NULL;NULL
20;6;6.c;"Aprimorar as condições de conservação e distribuição de imunobiológicos disponibilizados pelo Ministério da Saúde nas unidades de saúde;";NULL;NULL;NULL
21;6;6.d;Adquirir tablets e condições de acesso para registro em tempo real das informações de vacinação.;NULL;NULL;NULL
22;7;7.a;Organizar os serviços de referência para atendimento integral às pessoas com dores crônicas.;NULL;NULL;NULL
23;8;8.a;"Referenciar o atendimento em saúde mental para 100% das UBS do Município, ampliando o acolhimento e atenção à saúde da população em sofrimento psíquico;";NULL;NULL;NULL
24;8;8.b;"Reclassificar seis CAPS (de CAPS II para CAPS III);";NULL;NULL;NULL
25;8;8.c;Implantar seis novos CAPS.;NULL;NULL;NULL
26;9;9.a;Implantar 40 novas equipes da Estratégia Saúde da Família, priorizando os distritos mais vulneráveis no âmbito da primeira infância.;NULL;NULL;NULL
27;10;10.a;"Identificar a demanda por vaga em CEI/creche, antes mesmo do nascimento da criança, em articulação com a Rede de Proteção Mãe Paulistana;";NULL;NULL;NULL
28;10;10.b;"Realizar busca ativa de crianças em idade da pré-escola e fora da escola;";NULL;NULL;NULL
29;10;10.c;Criar vagas em creches em resposta à demanda identificada.;NULL;NULL;NULL
30;11;11.a;"Implementar os instrumentos previstos no Protocolo de Atenção à Primeiríssima Infância;";NULL;NULL;NULL
31;11;11.b;"Definir e implementar protocolos de busca ativa para a identificação das crianças fora da escola;";NULL;NULL;NULL
